[23:04:26] === 5min BTC 单笔交易  [DRY-RUN] ===
[23:04:26] 入场过滤: 窗口BTC波动<$25 且 冷门方ask<0.30（开窗后105-135s）｜止盈 +100%｜未止盈拿到结算
[23:04:26] BTC喂价: Chainlink on Polygon（https://polygon-bor-rpc.publicnode.com）｜日志: data\logs\trade5m_20260910_230426.log
[23:04:59] [窗口 1] 起点 1789052700（本地 23:04:59），开始持续监测 …
[23:05:02] 市场: Bitcoin Up or Down - September 10, 11:05AM-11:10AM ET  (minSize=5)
[23:08:49] t+  229s  BTC=77299.284 range= 71.909  Up  0.920/ 0.930  Down  0.070/ 0.080  [盘口=WS 簿龄=0.1s/10s WS事件=3332(簿2274/增量0) 距上次WS=0.1s] [链上round=55340232221132494133 age=26s]
[23:08:53] t+  232s  BTC=77299.284 range= 71.909  Up  0.850/ 0.860  Down  0.140/ 0.150  [盘口=WS 簿龄=0.0s/10s WS事件=3456(簿2358/增量0) 距上次WS=0.0s] [链上round=55340232221132494133 age=29s]
[23:08:55] t+  235s  BTC=77299.284 range= 71.909  Up  0.920/ 0.930  Down  0.070/ 0.080  [盘口=WS 簿龄=0.0s/10s WS事件=3532(簿2411/增量0) 距上次WS=0.0s] [链上round=55340232221132494133 age=32s]
[23:09:00] t+  238s  BTC=77313.018 range= 71.909  Up  0.960/ 0.970  Down  0.030/ 0.040  [盘口=WS 簿龄=0.5s/10s WS事件=3643(簿2486/增量0) 距上次WS=0.5s] [链上round=55340232221132494134 age=4s]
[23:09:04] t+  243s  BTC=77313.018 range= 71.909  Up  0.980/ 0.990  Down  0.010/ 0.020  [盘口=WS 簿龄=0.2s/10s WS事件=3858(簿2636/增量0) 距上次WS=0.1s] [链上round=55340232221132494134 age=7s]
[23:09:12] t+  246s  BTC=77313.018 range= 71.909  Up  0.990/   n/a  Down    n/a/ 0.010  [盘口=REST 簿龄=无/10s WS事件=3931(簿2688/增量0) 距上次WS=6.9s] [链上round=55340232221132494134 age=15s]
[23:09:16] t+  254s  BTC=77313.018 range= 71.909  Up  0.990/   n/a  Down    n/a/ 0.010  [盘口=WS 簿龄=0.0s/10s WS事件=3957(簿2706/增量0) 距上次WS=0.0s] [链上round=55340232221132494134 age=19s]
[23:09:18] t+  258s  BTC=77313.018 range= 71.909  Up  0.990/   n/a  Down    n/a/ 0.010  [盘口=WS 簿龄=1.0s/10s WS事件=3966(簿2712/增量0) 距上次WS=1.0s] [链上round=55340232221132494134 age=22s]
[23:09:21] t+  261s  BTC=77313.018 range= 71.909  Up  0.990/   n/a  Down    n/a/ 0.010  [盘口=WS 簿龄=0.7s/10s WS事件=3969(簿2714/增量0) 距上次WS=0.7s] [链上round=55340232221132494134 age=24s]
[23:09:25] t+  263s  BTC=77313.018 range= 71.909  Up  0.990/   n/a  Down    n/a/ 0.010  [盘口=WS 簿龄=4.7s/10s WS事件=3969(簿2714/增量0) 距上次WS=4.7s] [链上round=55340232221132494134 age=28s]
[23:09:27] t+  267s  BTC=77313.018 range= 71.909  Up  0.990/   n/a  Down    n/a/ 0.010  [盘口=WS 簿龄=1.0s/10s WS事件=3972(簿2716/增量0) 距上次WS=1.0s] [链上round=55340232221132494134 age=31s]
[23:09:30] t+  270s  BTC=77340.135 range= 83.609  Up  0.990/   n/a  Down    n/a/ 0.010  [盘口=WS 簿龄=3.9s/10s WS事件=3972(簿2716/增量0) 距上次WS=3.9s] [链上round=55340232221132494135 age=1s]
[23:09:33] t+  273s  BTC=77340.135 range= 83.609  Up  0.990/   n/a  Down    n/a/ 0.010  [盘口=WS 簿龄=0.5s/10s WS事件=3984(簿2724/增量0) 距上次WS=0.5s] [链上round=55340232221132494135 age=3s]
[23:09:35] t+  275s  BTC=77340.135 range= 83.609  Up  0.990/   n/a  Down    n/a/ 0.010  [盘口=WS 簿龄=2.2s/10s WS事件=3987(簿2726/增量0) 距上次WS=2.2s] [链上round=55340232221132494135 age=6s]
[23:09:38] t+  278s  BTC=77340.135 range= 83.609  Up  0.990/   n/a  Down    n/a/ 0.010  [盘口=WS 簿龄=4.6s/10s WS事件=3987(簿2726/增量0) 距上次WS=4.6s] [链上round=55340232221132494135 age=8s]
[23:09:40] 本窗口未入场，进入下一个窗口（1/1）。
[23:09:40] 1 个窗口均未满足入场条件，未交易。
